Crisil Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated on: 15-Nov-2025 10:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fund Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme Name,Benchmark,Riskometer Scheme,Riskometer Benchmark,NAV Date,NAV Regular,NAV Direct,Return 1 Year (%) Regular,Return 1 Year (%) Direct,Return 1 Year (%) Benchmark,Information Ratio* 1 Year (Regular),Information Ratio* 1 Year (Direct),Return 3 Year (%) Regular,Return 3 Year (%) Direct,Return 3 Year (%) Benchmark,Information Ratio* 3 Year (Regular),Information Ratio* 3 Year (Direct),Return 5 Year (%) Regular,Return 5 Year (%) Direct,Return 5 Year (%) Benchmark,Information Ratio* 5 Year (Regular),Information Ratio* 5 Year (Direct),Return 10 Year (%) Regular,Return 10 Year (%) Direct,Return 10 Year (%) Benchmark,Information Ratio* 10 Year (Regular),Information Ratio* 10 Year (Direct),Return Since Launch Regular,Return Since Launch Direct,Return Since Launch  Benchmark,Return Since Launch Direct Benchmark,Daily AUM (Cr.)
Taurus Flexi Cap Fund,BSE 500 TRI,Very High,Very High,13-Nov-2025,228.3400,237.6000,3.12,3.19,9.43,-1.91,-1.89,13.88,13.95,15.74,-0.35,-0.33,15.78,15.83,19.21,-0.66,-0.65,10.18,10.45,15.14,-1.14,-1.07,10.33,10.65,,14.53,363.83
The Wealth Company Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,10.1100,10.1200,,,,,,,,,,,,,,,,,,,,,,,,,256.22
UTI Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,327.8744,352.3829,6.20,6.88,9.79,-0.70,-0.57,10.46,11.25,16.07,-0.92,-0.79,13.26,14.10,19.26,-0.94,-0.81,12.81,13.52,15.08,-0.41,-0.29,14.34,14.26,14.21,14.48,25650.97
Unifi Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,10.2745,10.3337,,,,,,,,,,,,,,,,,,,,,,,,,157.15
Union Flexi Cap Fund,BSE 500 TRI,Very High,Very High,13-Nov-2025,52.1300,58.2500,8.45,9.66,9.43,-0.38,0.05,14.92,16.24,15.74,-0.28,0.13,18.02,19.29,19.21,-0.37,-0.02,13.64,14.67,15.14,-0.45,-0.17,12.12,13.91,13.63,14.59,2413.52
WhiteOak Capital Flexi Cap Fund,BSE 500 TRI,Very High,Very High,13-Nov-2025,17.9240,18.8200,10.88,12.39,9.43,0.43,0.88,18.93,20.72,15.74,0.84,1.31,,,,,,,,,,,19.44,21.23,16.27,16.27,6670.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*For detailed understanding regarding Information Ratio, click on the below link",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amfiindia.com/otherdata/fund-performance/information-ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
